ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,Zip Codes
262906326,02/02/2023,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,108,0,<18,M,BLACK,996643,209958,40.742954,-73.955274,POINT (-73.955274 40.742954),53,3,33,66,16858
262898615,02/02/2023,153,RAPE 3,104,RAPE,PL 1302501,F,Q,112,0,25-44,M,WHITE,1025401,202586,40.7226409964758,-73.8515418216779,POINT (-73.8515418216779 40.7226409964758),40,3,28,70,14786
262939177,02/02/2023,750,RESISTING ARREST,359,OFFENSES AGAINST PUBLIC ADMINI,PL 2053000,M,Q,113,0,25-44,M,BLACK,1048530,192776,40.69557,-73.768191,POINT (-73.768191 40.69557),41,3,6,71,24669
262955266,02/02/2023,792,CRIMINAL POSSESSION WEAPON,118,DANGEROUS WEAPONS,PL 265031B,F,K,67,0,25-44,M,BLACK,1007548,179060,40.658126,-73.916026,POINT (-73.916026 40.658126),61,2,17,40,17614
262917077,02/02/2023,759,"PUBLIC ADMINISTATION,UNCLASS M",359,OFFENSES AGAINST PUBLIC ADMINI,PL 1950500,M,K,73,1,25-44,M,BLACK,1010719,186857,40.679516449878804,-73.90457012340953,POINT (-73.90457012340953 40.679516449878804),42,2,37,53,13516
262940617,02/02/2023,441,"LARCENY,GRAND OF AUTO",110,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,K,79,0,25-44,M,BLACK,997562,186685,40.67907391,-73.95200597,POINT (-73.95200597 40.67907391),69,2,49,51,17618
262922727,02/02/2023,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL05110A4,M,B,41,0,18-24,M,BLACK,1014509,238113,40.82018895,-73.89067524,POINT (-73.89067524 40.82018895),8,5,43,24,12343
262937897,02/02/2023,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,K,62,0,45-64,M,BLACK,983756,160323,40.606728,-74.001776,POINT (-74.001776 40.606728),1,2,45,37,17616
262937429,02/02/2023,681,"CHILD, ENDANGERING WELFARE",233,SEX CRIMES,PL 2601001,M,M,18,0,25-44,M,WHITE,988451,217993,40.7650240788333,-73.9848359497083,POINT (-73.9848359497083 40.7650240788333),12,4,10,10,12081
262882335,02/02/2023,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 1201401,M,B,46,0,25-44,M,BLACK,1009586,249932,40.85264415,-73.90841722,POINT (-73.90841722 40.85264415),6,5,29,29,10931
